title,desc,genre
The Night Manager,"Follows Shaan Sengupta, an ex-soldier, who must infiltrate an arms dealer's inner circle to bring down his empire of war.","Action, Crime, Mystery"
The Jengaburu Curse,"A London-based analyst returns to Odisha in search of her missing father. Her quest leads to a conspiracy involving bauxite mining, secretly backed by an international nexus, leading to unexplained deaths and a displaced community.",Thriller
Bro,An arrogant man is given a second chance to fix his mistakes after death.,"Drama, Family, Fantasy"
Farzi,"An artist who gets pulled into the murky high stakes of a con job and a fiery task force officer on the mission to rid the country of his menaces in a fast-paced, edgy one-of-a-kind thriller.","Crime, Drama, Thriller"
Crackdown,"A high intensity action-thriller Crackdown 2 starts off with a plane hi-jack. This new turn of events causes grave crisis for the RAW agents where they need to figure who their enemy is, their motivations, and uncover threats.","Action, Crime, Drama"
Jawan,A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,"Action, Thriller"
Sandeep Bhaiya,A tiffin service provider finds a mentor in a failed UPSC aspirant who inspires her to become an IFS.,Drama
3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Comedy, Drama"
Asur: Welcome to Your Dark Side,"Shubh returns for revenge and this season he takes the challenge to a whole new level. With the heroes fallen apart, will a desolate Dhananjay Rajpoot and a torn Nikhil Nair be able to stop him?","Crime, Drama, Mystery"
Satyaprem Ki Katha,"A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway.","Comedy, Drama, Musical"
Gadar: Ek Prem Katha,"During the Partition of India in 1947, a Sikh truck driver falls in love with a Muslim girl belonging to an aristocratic family.","Action, Drama, Romance"
Adipurush,A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the demon king Lankesh.,"Action, Adventure, Drama"
Dayaa,"When a van driver finds a dead body in his truck, he has to take extreme measures to find out the reason behind the death.",Mystery
Checkmate,"An assassin gets hired for a job that throws him in a murky pool of mishaps, eventually leading to a baffling secret.","Action, Comedy"
Por Thozhil,A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.,"Action, Crime, Thriller"
The Family Man,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.","Action, Comedy, Drama"
OMG: Oh My God!,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,"Comedy, Drama, Fantasy"
